id,acc,label,uri
17e3c0e8-d3ce-5204-8132-8be0d11bd33a,92312,MEX3A,https://www.ncbi.nlm.nih.gov/gene/92312
3478c6c7-84e8-5fb4-83ff-4af1e3ce8e87,10223,GPA33,https://www.ncbi.nlm.nih.gov/gene/10223
48f1bc13-895d-527e-ad35-919ae3277f76,60312,AFAP1,https://www.ncbi.nlm.nih.gov/gene/60312
821db35f-97f3-5aed-a74b-03a96677d9a9,148753,FAM163A,https://www.ncbi.nlm.nih.gov/gene/148753
434fb6e2-bfb8-5754-97ea-34c141490719,27291,R3HCC1L,https://www.ncbi.nlm.nih.gov/gene/27291
0faaa463-82c6-5db1-b331-dd49e5a845bf,25901,CCDC28A,https://www.ncbi.nlm.nih.gov/gene/25901
306f6a6f-f990-53b0-b151-33ca5577737e,64184,EDDM3B,https://www.ncbi.nlm.nih.gov/gene/64184
3402efad-6f29-5b73-be70-fa1d98581653,11215,AKAP11,https://www.ncbi.nlm.nih.gov/gene/11215
23783446-add2-5b38-bf27-f4c00414303d,55083,KIF26B,https://www.ncbi.nlm.nih.gov/gene/55083
d3139faf-b2cb-5d88-9b60-e7e01fc5cbeb,5681,PSKH1,https://www.ncbi.nlm.nih.gov/gene/5681
033a8785-24d4-557f-a11a-28e763cea435,81615,TMEM163,https://www.ncbi.nlm.nih.gov/gene/81615
14ade34e-d5f0-5e41-8867-49393869021a,79098,C1ORF116,https://www.ncbi.nlm.nih.gov/gene/79098
b0557f82-3f67-5e2f-806a-e171f284b090,374659,HDDC3,https://www.ncbi.nlm.nih.gov/gene/374659
019e2847-8db2-50ab-8bf7-0d397aa80506,9764,KIAA0513,https://www.ncbi.nlm.nih.gov/gene/9764
92649b8a-1cab-5c4f-a8f8-f77c983b9dbc,165257,C1QL2,https://www.ncbi.nlm.nih.gov/gene/165257
a056e5aa-117e-5456-a219-00c27d2713a6,285600,KIAA0825,https://www.ncbi.nlm.nih.gov/gene/285600
b39fffd9-0427-552f-8f6c-8f05f5d28744,729533,FAM72A,https://www.ncbi.nlm.nih.gov/gene/729533
e07e5ea7-568c-5045-a165-7611a47878c3,1768,DNAH6,https://www.ncbi.nlm.nih.gov/gene/1768
9bc46131-1ce1-5d16-92cb-f2257599ff3d,344807,CD200R1L,https://www.ncbi.nlm.nih.gov/gene/344807
f3b0a611-9234-585b-a5c7-8e71528712a0,388403,YPEL2,https://www.ncbi.nlm.nih.gov/gene/388403
17e6a8dc-7f56-563d-925c-b22476cd5279,63939,FAM217B,https://www.ncbi.nlm.nih.gov/gene/63939
050669e6-f832-57fc-b239-af621ea47837,29902,FAM216A,https://www.ncbi.nlm.nih.gov/gene/29902
191e1db3-4b5a-56e9-89b1-0fef8f39faf9,144501,KRT80,https://www.ncbi.nlm.nih.gov/gene/144501
c825dd19-5cad-5ec5-bc8b-11f22d2f7c18,83551,TAAR8,https://www.ncbi.nlm.nih.gov/gene/83551
271933ba-7f91-5b71-a979-fbb3aab0703d,8654,PDE5A,https://www.ncbi.nlm.nih.gov/gene/8654
48abd93d-3ab4-5d32-9b54-ce5a4926af22,646498,C3ORF84,https://www.ncbi.nlm.nih.gov/gene/646498
